date,year,travelers,holiday
2019-01-01,2019,2126398.0,New Year's Day
2019-01-02,2019,2345103.0,New Year's Day
2019-01-03,2019,2202111.0,
2019-01-04,2019,2150571.0,
2019-01-05,2019,1975947.0,
2019-01-06,2019,2229391.0,
2019-01-07,2019,2044043.0,
2019-01-08,2019,1733739.0,
2019-01-09,2019,1739642.0,
2019-01-10,2019,1955200.0,
2019-01-11,2019,1959788.0,
2019-01-12,2019,1604862.0,
2019-01-13,2019,1970450.0,
2019-01-14,2019,1886642.0,
2019-01-15,2019,1605758.0,
2019-01-16,2019,1786012.0,
2019-01-17,2019,2139242.0,
2019-01-18,2019,2271398.0,
2019-01-19,2019,1600698.0,
2019-01-20,2019,1776235.0,
2019-01-21,2019,2179066.0,
2019-01-22,2019,1804629.0,
2019-01-23,2019,1763884.0,
2019-01-24,2019,1991328.0,
2019-01-25,2019,2052814.0,
2019-01-26,2019,1571077.0,
2019-01-27,2019,2010374.0,
2019-01-28,2019,1862420.0,
2019-01-29,2019,1534386.0,
2019-01-30,2019,1593697.0,
2019-01-31,2019,1938817.0,
2019-02-01,2019,2078169.0,
2019-02-02,2019,1591591.0,
2019-02-03,2019,1792677.0,
2019-02-04,2019,2001482.0,
2019-02-05,2019,1655868.0,
2019-02-06,2019,1756152.0,
2019-02-07,2019,2064640.0,
2019-02-08,2019,2134744.0,
2019-02-09,2019,1648328.0,
2019-02-10,2019,2105696.0,
2019-02-11,2019,2055827.0,
2019-02-12,2019,1620239.0,
2019-02-13,2019,1950385.0,
2019-02-14,2019,2227730.0,
2019-02-15,2019,1922613.0,
2019-02-16,2019,2147045.0,
2019-02-17,2019,2476445.0,
2019-02-18,2019,2177690.0,
2019-02-19,2019,2022861.0,
2019-02-20,2019,2351856.0,
2019-02-21,2019,2415570.0,
2019-02-22,2019,2331841.0,
2019-02-23,2019,2274217.0,
2019-02-24,2019,2197938.0,
2019-02-25,2019,2160322.0,
2019-02-26,2019,1861286.0,
2019-02-27,2019,2015079.0,
2019-02-28,2019,2307393.0,
2019-03-01,2019,2257920.0,
2019-03-02,2019,1979558.0,
2019-03-03,2019,2143619.0,
2019-03-04,2019,2402692.0,
2019-03-05,2019,2543689.0,
2019-03-06,2019,2156262.0,
2019-03-07,2019,2485430.0,
2019-03-08,2019,2378673.0,
2019-03-09,2019,2122898.0,
2019-03-10,2019,2187298.0,
2019-03-11,2019,2503924.0,
2019-03-12,2019,2634215.0,
2019-03-13,2019,2274658.0,
2019-03-14,2019,2545742.0,
2019-03-15,2019,2465709.0,
2019-03-16,2019,2177929.0,
2019-03-17,2019,2320885.0,
2019-03-18,2019,2513231.0,
2019-03-19,2019,2559307.0,
2019-03-20,2019,2227181.0,
2019-03-21,2019,2542643.0,
2019-03-22,2019,2434370.0,
2019-03-23,2019,2151913.0,
2019-03-24,2019,2273811.0,
2019-03-25,2019,2487162.0,
2019-03-26,2019,2538384.0,
2019-03-27,2019,2172920.0,
2019-03-28,2019,2510294.0,
2019-03-29,2019,2360053.0,
2019-03-30,2019,2026256.0,
2019-03-31,2019,2151626.0,
2019-04-01,2019,2411500.0,
2019-04-02,2019,2476884.0,
2019-04-03,2019,2011715.0,
2019-04-04,2019,2462929.0,
2019-04-05,2019,2384091.0,
2019-04-06,2019,2091056.0,
2019-04-07,2019,2229276.0,
2019-04-08,2019,2487398.0,
2019-04-09,2019,2590499.0,
2019-04-10,2019,2059142.0,
2019-04-11,2019,2446801.0,
2019-04-12,2019,2484580.0,
2019-04-13,2019,2208688.0,
2019-04-14,2019,2317381.0,
2019-04-15,2019,2616158.0,
2019-04-16,2019,2457133.0,
2019-04-17,2019,1988205.0,
2019-04-18,2019,2356802.0,
2019-04-19,2019,2594171.0,
2019-04-20,2019,2227475.0,
2019-04-21,2019,2254209.0,
2019-04-22,2019,2526961.0,
2019-04-23,2019,2521897.0,
2019-04-24,2019,1990464.0,
2019-04-25,2019,2506809.0,
2019-04-26,2019,2412770.0,
2019-04-27,2019,2102068.0,
2019-04-28,2019,2256442.0,
2019-04-29,2019,2499461.0,
2019-04-30,2019,2546029.0,
2019-05-01,2019,1968278.0,
2019-05-02,2019,2512598.0,
2019-05-03,2019,2470969.0,
2019-05-04,2019,2106597.0,
2019-05-05,2019,2270662.0,
2019-05-06,2019,2555342.0,
2019-05-07,2019,2602631.0,
2019-05-08,2019,1985942.0,
2019-05-09,2019,2419114.0,
2019-05-10,2019,2512315.0,
2019-05-11,2019,2191387.0,
2019-05-12,2019,2343675.0,
2019-05-13,2019,2611324.0,
2019-05-14,2019,2664549.0,
2019-05-15,2019,2664549.0,
2019-05-16,2019,2091116.0,
2019-05-17,2019,2620276.0,
2019-05-18,2019,2615691.0,
2019-05-19,2019,2312727.0,
2019-05-20,2019,2472123.0,
2019-05-21,2019,2673635.0,
2019-05-22,2019,2792670.0,
2019-05-23,2019,2124825.0,
2019-05-24,2019,2070716.0,
2019-05-25,2019,2512237.0,Memorial Day
2019-05-26,2019,2453649.0,Memorial Day
2019-05-27,2019,2269035.0,Memorial Day
2019-05-28,2019,2485770.0,Memorial Day
2019-05-29,2019,2570613.0,
2019-05-30,2019,2117180.0,
2019-05-31,2019,2555578.0,
2019-06-01,2019,2499002.0,
2019-06-02,2019,2247421.0,
2019-06-03,2019,2370152.0,
2019-06-04,2019,2623947.0,
2019-06-05,2019,2649808.0,
2019-06-06,2019,2225952.0,
2019-06-07,2019,2669860.0,
2019-06-08,2019,2644981.0,
2019-06-09,2019,2433189.0,
2019-06-10,2019,2509058.0,
2019-06-11,2019,2675686.0,
2019-06-12,2019,2727860.0,
2019-06-13,2019,2318946.0,
2019-06-14,2019,2642083.0,
2019-06-15,2019,2699580.0,
2019-06-16,2019,2466574.0,
2019-06-17,2019,2552395.0,
2019-06-18,2019,2728786.0,
2019-06-19,2019,2772903.0,
2019-06-20,2019,2378559.0,
2019-06-21,2019,2719643.0,
2019-06-22,2019,2716428.0,
2019-06-23,2019,2506510.0,
2019-06-24,2019,2594661.0,
2019-06-25,2019,2711222.0,
2019-06-26,2019,2730515.0,
2019-06-27,2019,2368846.0,
2019-06-28,2019,2632030.0,
2019-06-29,2019,2455536.0,
2019-06-30,2019,2347767.0,
2019-07-01,2019,2547889.0,
2019-07-02,2019,2088760.0,July 4th
2019-07-03,2019,2184253.0,July 4th
2019-07-04,2019,2345846.0,July 4th
2019-07-05,2019,2795369.0,July 4th
2019-07-06,2019,2748718.0,
2019-07-07,2019,2506859.0,
2019-07-08,2019,2515902.0,
2019-07-09,2019,2608209.0,
2019-07-10,2019,2716812.0,
2019-07-11,2019,2312178.0,
2019-07-12,2019,2669717.0,
2019-07-13,2019,2615115.0,
2019-07-14,2019,2447177.0,
2019-07-15,2019,2522563.0,
2019-07-16,2019,2716828.0,
2019-07-17,2019,2776960.0,
2019-07-18,2019,2396462.0,
2019-07-19,2019,2727355.0,
2019-07-20,2019,2635312.0,
2019-07-21,2019,2499460.0,
2019-07-22,2019,2561911.0,
2019-07-23,2019,2705399.0,
2019-07-24,2019,2732770.0,
2019-07-25,2019,2364925.0,
2019-07-26,2019,2700723.0,
2019-07-27,2019,2613346.0,
2019-07-28,2019,2438967.0,
2019-07-29,2019,2542365.0,
2019-07-30,2019,2742882.0,
2019-07-31,2019,2730936.0,
2019-08-01,2019,2367967.0,
2019-08-02,2019,2688640.0,
2019-08-03,2019,2619406.0,
2019-08-04,2019,2387115.0,
2019-08-05,2019,2430094.0,
2019-08-06,2019,2707986.0,
2019-08-07,2019,2725000.0,
2019-08-08,2019,2290340.0,
2019-08-09,2019,2647897.0,
2019-08-10,2019,2567986.0,
2019-08-11,2019,2306829.0,
2019-08-12,2019,2391906.0,
2019-08-13,2019,2602446.0,
2019-08-14,2019,2627564.0,
2019-08-15,2019,2171962.0,
2019-08-16,2019,2584444.0,
2019-08-17,2019,2576965.0,
2019-08-18,2019,2247446.0,
2019-08-19,2019,2306838.0,
2019-08-20,2019,2533184.0,
2019-08-21,2019,2559244.0,
2019-08-22,2019,2039233.0,
2019-08-23,2019,2493162.0,
2019-08-24,2019,2358007.0,
2019-08-25,2019,2015088.0,
2019-08-26,2019,2188688.0,
2019-08-27,2019,2561109.0,
2019-08-28,2019,2658558.0,
2019-08-29,2019,1954902.0,
2019-08-30,2019,1887845.0,
2019-08-31,2019,2278159.0,Labor Day
2019-09-01,2019,2037750.0,Labor Day
2019-09-02,2019,1889044.0,Labor Day
2019-09-03,2019,2109858.0,Labor Day
2019-09-04,2019,2198828.0,
2019-09-05,2019,1755502.0,
2019-09-06,2019,2370003.0,
2019-09-07,2019,2292985.0,
2019-09-08,2019,1943379.0,
2019-09-09,2019,2005867.0,
2019-09-10,2019,2449302.0,
2019-09-11,2019,2484025.0,
2019-09-12,2019,1879822.0,
2019-09-13,2019,2485134.0,
2019-09-14,2019,2405832.0,
2019-09-15,2019,2013050.0,
2019-09-16,2019,2146857.0,
2019-09-17,2019,2455410.0,
2019-09-18,2019,2571924.0,
2019-09-19,2019,1938402.0,
2019-09-20,2019,2517826.0,
2019-09-21,2019,2431388.0,
2019-09-22,2019,2033490.0,
2019-09-23,2019,2188236.0,
2019-09-24,2019,2510926.0,
2019-09-25,2019,2547611.0,
2019-09-26,2019,1966234.0,
2019-09-27,2019,2452596.0,
2019-09-28,2019,2368818.0,
2019-09-29,2019,1998980.0,
2019-09-30,2019,2082179.0,
2019-10-01,2019,2447687.0,
2019-10-02,2019,2526835.0,
2019-10-03,2019,1921185.0,
2019-10-04,2019,2542118.0,
2019-10-05,2019,2400153.0,
2019-10-06,2019,2035628.0,
2019-10-07,2019,2215233.0,
2019-10-08,2019,2605291.0,
2019-10-09,2019,2688032.0,
2019-10-10,2019,2074718.0,
2019-10-11,2019,2555333.0,
2019-10-12,2019,2616771.0,
2019-10-13,2019,2313632.0,
2019-10-14,2019,2317763.0,
2019-10-15,2019,2581007.0,
2019-10-16,2019,2637667.0,
2019-10-17,2019,2049855.0,
2019-10-18,2019,2606266.0,
2019-10-19,2019,2514673.0,
2019-10-20,2019,2126637.0,
2019-10-21,2019,2245199.0,
2019-10-22,2019,2541581.0,
2019-10-23,2019,2594337.0,
2019-10-24,2019,1931971.0,
2019-10-25,2019,2478287.0,
2019-10-26,2019,2347017.0,
2019-10-27,2019,1910506.0,
2019-10-28,2019,2066516.0,
2019-10-29,2019,2047910.0,
2019-10-30,2019,2319906.0,
2019-10-31,2019,1836781.0,
2019-11-01,2019,2459525.0,
2019-11-02,2019,2403304.0,
2019-11-03,2019,2005101.0,
2019-11-04,2019,2147882.0,
2019-11-05,2019,2507365.0,
2019-11-06,2019,2544350.0,
2019-11-07,2019,1908805.0,
2019-11-08,2019,2356349.0,
2019-11-09,2019,2465392.0,
2019-11-10,2019,2150003.0,
2019-11-11,2019,2072207.0,
2019-11-12,2019,2364920.0,
2019-11-13,2019,2437211.0,
2019-11-14,2019,1807230.0,
2019-11-15,2019,2396681.0,
2019-11-16,2019,2298856.0,
2019-11-17,2019,1900895.0,
2019-11-18,2019,2071631.0,
2019-11-19,2019,2428095.0,
2019-11-20,2019,2550459.0,
2019-11-21,2019,2194291.0,
2019-11-22,2019,2321546.0,
2019-11-23,2019,2254188.0,
2019-11-24,2019,2435170.0,
2019-11-25,2019,2624250.0,
2019-11-26,2019,1591158.0,Thanksgiving
2019-11-27,2019,1968137.0,Thanksgiving
2019-11-28,2019,2648268.0,Thanksgiving
2019-11-29,2019,2882915.0,Thanksgiving
2019-11-30,2019,2591470.0,
2019-12-01,2019,2280403.0,
2019-12-02,2019,2054380.0,
2019-12-03,2019,2262878.0,
2019-12-04,2019,2278205.0,
2019-12-05,2019,1755801.0,
2019-12-06,2019,2292079.0,
2019-12-07,2019,2226290.0,
2019-12-08,2019,1897051.0,
2019-12-09,2019,2020488.0,
2019-12-10,2019,2362310.0,
2019-12-11,2019,2388029.0,
2019-12-12,2019,1893871.0,
2019-12-13,2019,2300248.0,
2019-12-14,2019,2250386.0,
2019-12-15,2019,2009112.0,
2019-12-16,2019,2234374.0,
2019-12-17,2019,2471408.0,
2019-12-18,2019,2608088.0,
2019-12-19,2019,2487987.0,
2019-12-20,2019,2519399.0,
2019-12-21,2019,2490503.0,
2019-12-22,2019,1981433.0,Christmas Eve
2019-12-23,2019,1937235.0,Christmas Eve
2019-12-24,2019,2552194.0,Christmas Eve
2019-12-25,2019,2582580.0,Christmas Day
2019-12-26,2019,2470786.0,Christmas Day
2019-12-27,2019,2575985.0,
2019-12-28,2019,2500396.0,
2019-12-29,2019,2009880.0,New Year's Eve
2019-12-30,2019,2133253.0,New Year's Eve
2019-12-31,2019,2392331.0,New Year's Eve
2020-01-01,2020,2311732.0,New Year's Day
2020-01-02,2020,2178656.0,New Year's Day
2020-01-03,2020,2422272.0,
2020-01-04,2020,2210542.0,
2020-01-05,2020,1806480.0,
2020-01-06,2020,1815040.0,
2020-01-07,2020,2034472.0,
2020-01-08,2020,2072543.0,
2020-01-09,2020,1687974.0,
2020-01-10,2020,2183734.0,
2020-01-11,2020,1992453.0,
2020-01-12,2020,1691205.0,
2020-01-13,2020,1876782.0,
2020-01-14,2020,2242656.0,
2020-01-15,2020,2347075.0,
2020-01-16,2020,1781893.0,
2020-01-17,2020,2000260.0,
2020-01-18,2020,2298616.0,
2020-01-19,2020,1870459.0,
2020-01-20,2020,1801444.0,
2020-01-21,2020,2100401.0,
2020-01-22,2020,2145063.0,
2020-01-23,2020,1645196.0,
2020-01-24,2020,2136584.0,
2020-01-25,2020,2004609.0,
2020-01-26,2020,1643435.0,
2020-01-27,2020,1777171.0,
2020-01-28,2020,2085468.0,
2020-01-29,2020,2159047.0,
2020-01-30,2020,1658886.0,
2020-01-31,2020,1948138.0,
2020-02-01,2020,2054725.0,
2020-02-02,2020,1677798.0,
2020-02-03,2020,1843877.0,
2020-02-04,2020,2167857.0,
2020-02-05,2020,2271551.0,
2020-02-06,2020,1770241.0,
2020-02-07,2020,2224826.0,
2020-02-08,2020,2164951.0,
2020-02-09,2020,1814047.0,
2020-02-10,2020,2038375.0,
2020-02-11,2020,2415185.0,
2020-02-12,2020,2507588.0,
2020-02-13,2020,1972248.0,
2020-02-14,2020,2198657.0,
2020-02-15,2020,2494922.0,
2020-02-16,2020,2190300.0,
2020-02-17,2020,2129862.0,
2020-02-18,2020,2358511.0,
2020-02-19,2020,2429489.0,
2020-02-20,2020,1951535.0,
2020-02-21,2020,2380359.0,
2020-02-22,2020,2267382.0,
2020-02-23,2020,1919803.0,
2020-02-24,2020,2075554.0,
2020-02-25,2020,2364727.0,
2020-02-26,2020,2441643.0,
2020-02-27,2020,1949696.0,
2020-02-28,2020,2353150.0,
