Date,2021 Traveler Throughput,2020 Traveler Throughput,2019 Traveler Throughput
5/14/2021,1716561.0,250467,2664549
5/13/2021,1743515.0,234928,2611324
5/12/2021,1424664.0,176667,2343675
5/11/2021,1315493.0,163205,2191387
5/10/2021,1657722.0,215645,2512315
5/9/2021,1707805.0,200815,2419114
5/8/2021,1429657.0,169580,1985942
5/7/2021,1703267.0,215444,2602631
5/6/2021,1644050.0,190863,2555342
5/5/2021,1268938.0,140409,2270662
5/4/2021,1134103.0,130601,2106597
5/3/2021,1463672.0,163692,2470969
5/2/2021,1626962.0,170254,2512598
5/1/2021,1335535.0,134261,1968278
4/30/2021,1558553.0,171563,2546029
4/29/2021,1526681.0,154695,2499461
4/28/2021,1184326.0,119629,2256442
4/27/2021,1077199.0,110913,2102068
4/26/2021,1369410.0,119854,2412770
4/25/2021,1571220.0,128875,2506809
4/24/2021,1259724.0,114459,1990464
4/23/2021,1521393.0,123464,2521897
4/22/2021,1509649.0,111627,2526961
4/21/2021,1164099.0,98968,2254209
4/20/2021,1082443.0,92859,2227475
4/19/2021,1412500.0,99344,2594171
4/18/2021,1572383.0,105382,2356802
4/17/2021,1277815.0,97236,1988205
4/16/2021,1468218.0,106385,2457133
4/15/2021,1491435.0,95085,2616158
4/14/2021,1152703.0,90784,2317381
4/13/2021,1085034.0,87534,2208688
4/12/2021,1468972.0,102184,2484580
4/11/2021,1561495.0,90510,2446801
4/10/2021,1378237.0,93645,2059142
4/9/2021,1549181.0,108977,2590499
4/8/2021,1510829.0,104090,2487398
4/7/2021,1230939.0,94931,2229276
4/6/2021,1195306.0,97130,2091056
4/5/2021,1561959.0,108310,2384091
4/4/2021,1543474.0,122029,2462929
4/3/2021,1397958.0,118302,2011715
4/2/2021,1580785.0,129763,2476884
4/1/2021,1562239.0,124021,2411500
3/31/2021,1278113.0,136023,2151626
3/30/2021,1130520.0,146348,2026256
3/29/2021,1406234.0,154080,2360053
3/28/2021,1574228.0,180002,2510294
3/27/2021,1408198.0,184027,2172920
3/26/2021,1535156.0,199644,2538384
3/25/2021,1444744.0,203858,2487162
3/24/2021,1164954.0,239234,2273811
3/23/2021,1076453.0,279018,2151913
3/22/2021,1360290.0,331431,2434370
3/21/2021,1543136.0,454516,2542643
3/20/2021,1373259.0,548132,2227181
3/19/2021,1477841.0,593167,2559307
3/18/2021,1413141.0,620883,2513231
3/17/2021,1146539.0,779631,2320885
3/16/2021,1092548.0,953699,2177929
3/15/2021,1267345.0,1257823,2465709
3/14/2021,1345284.0,1519192,2545742
3/13/2021,1227484.0,1485553,2274658
3/12/2021,1409771.0,1714372,2634215
3/11/2021,1286894.0,1788456,2503924
3/10/2021,974221.0,1702686,2187298
3/9/2021,825745.0,1617220,2122898
3/8/2021,1119303.0,1909363,2378673
3/7/2021,1278557.0,2119867,2485430
3/6/2021,992406.0,1844811,2156262
3/5/2021,1168734.0,2198517,2543689
3/4/2021,1107534.0,2130015,2402692
3/3/2021,826924.0,1877401,2143619
3/2/2021,744812.0,1736393,1979558
3/1/2021,1049692.0,2089641,2257920
2/28/2021,1190682.0,2353150,2307393
2/27/2021,917282.0,1949696,2015079
2/26/2021,1096348.0,2441643,1861286
2/25/2021,1051149.0,2364727,2160322
2/24/2021,802230.0,2075554,2197938
2/23/2021,714725.0,1919803,2274217
2/22/2021,963280.0,2267382,2331841
2/21/2021,1115479.0,2380359,2415570
2/20/2021,942238.0,1951535,2351856
2/19/2021,1059452.0,2429489,2022861
2/18/2021,914823.0,2358511,2177690
2/17/2021,773422.0,2129862,2476445
2/16/2021,738825.0,2190300,2147045
2/15/2021,967693.0,2494922,1922613
2/14/2021,946458.0,2198657,2227730
2/13/2021,900696.0,1972248,1950385
2/12/2021,1151420.0,2507588,1620239
2/11/2021,1034514.0,2415185,2055827
2/10/2021,735009.0,2038375,2105696
2/9/2021,617619.0,1814047,1648328
2/8/2021,864783.0,2164951,2134744
2/7/2021,854636.0,2224826,2064640
2/6/2021,705951.0,1770241,1756152
2/5/2021,868624.0,2271551,1655868
2/4/2021,778065.0,2167857,2001482
2/3/2021,618615.0,1843877,1792677
2/2/2021,493338.0,1677798,1591591
2/1/2021,628989.0,2054725,2078169
1/31/2021,859039.0,1948138,1938817
1/30/2021,617489.0,1658886,1593697
1/29/2021,774688.0,2159047,1534386
1/28/2021,750558.0,2085468,1862420
1/27/2021,536935.0,1777171,2010374
1/26/2021,468933.0,1643435,1571077
1/25/2021,701709.0,2004609,2052814
1/24/2021,838116.0,2136584,1991328
1/23/2021,603527.0,1645196,1763884
1/22/2021,755028.0,2145063,1804629
1/21/2021,728978.0,2100401,2179066
1/20/2021,542338.0,1801444,1776235
1/19/2021,560190.0,1870459,1600698
1/18/2021,878048.0,2298616,2271398
1/17/2021,810654.0,2000260,2139242
1/16/2021,690438.0,1781893,1786012
1/15/2021,903039.0,2347075,1605758
1/14/2021,803688.0,2242656,1886642
1/13/2021,567401.0,1876782,1970450
1/12/2021,520117.0,1691205,1604862
1/11/2021,708177.0,1992453,1959788
1/10/2021,886536.0,2183734,1955200
1/9/2021,709444.0,1687974,1739642
1/8/2021,772471.0,2072543,1733739
1/7/2021,771734.0,2034472,2044043
1/6/2021,665855.0,1815040,2229391
1/5/2021,766594.0,1806480,1975947
1/4/2021,1080346.0,2210542,2150571
1/3/2021,1327289.0,2422272,2202111
1/2/2021,1192881.0,2178656,2345103
1/1/2021,805990.0,2311732,2126398
12/31/2020,,874406,2392331
12/30/2020,,1163696,2133253
12/29/2020,,1019347,2009880
12/28/2020,,1111751,2500396
12/27/2020,,1284599,2575985
12/26/2020,,1128773,2470786
12/25/2020,,616469,2582580
12/24/2020,,846520,2552194
12/23/2020,,1191123,1937235
12/22/2020,,992167,1981433
12/21/2020,,954782,2490503
12/20/2020,,1064619,2519399
12/19/2020,,1073563,2487987
12/18/2020,,1066747,2608088
12/17/2020,,846934,2471408
12/16/2020,,641966,2234374
12/15/2020,,552024,2009112
12/14/2020,,752451,2250386
12/13/2020,,865014,2300248
12/12/2020,,662380,1893871
12/11/2020,,787489,2388029
12/10/2020,,754307,2362310
12/9/2020,,564372,2020488
12/8/2020,,501513,1897051
12/7/2020,,703546,2226290
12/6/2020,,837137,2292079
12/5/2020,,629430,1755801
12/4/2020,,753951,2278205
12/3/2020,,738050,2262878
12/2/2020,,632356,2054380
12/1/2020,,780283,2280403
11/30/2020,,981912,2591470
11/29/2020,,1176091,2882915
11/28/2020,,964630,2648268
11/27/2020,,820399,1968137
11/26/2020,,560902,1591158
11/25/2020,,1070967,2624250
11/24/2020,,912090,2435170
11/23/2020,,917354,2254188
11/22/2020,,1047934,2321546
11/21/2020,,984369,2194291
11/20/2020,,1019836,2550459
11/19/2020,,907332,2428095
11/18/2020,,703135,2071631
11/17/2020,,611497,1900895
11/16/2020,,883157,2298856
11/15/2020,,978297,2396681
11/14/2020,,697360,1807230
11/13/2020,,881579,2437211
11/12/2020,,866679,2364920
11/11/2020,,674633,2072207
11/10/2020,,596475,2150003
11/9/2020,,836600,2465392
11/8/2020,,973020,2356349
11/7/2020,,689951,1908805
11/6/2020,,895091,2544350
11/5/2020,,867105,2507365
11/4/2020,,636533,2147882
11/3/2020,,575829,2005101
11/2/2020,,846138,2403304
11/1/2020,,936092,2459525
10/31/2020,,618476,1836781
10/30/2020,,892712,2319906
10/29/2020,,873636,2047910
10/28/2020,,666957,2066516
10/27/2020,,648517,1910506
10/26/2020,,898735,2347017
10/25/2020,,983745,2478287
10/24/2020,,755287,1931971
10/23/2020,,958437,2594337
10/22/2020,,934386,2541581
10/21/2020,,694150,2245199
10/20/2020,,662484,2126637
10/19/2020,,921031,2514673
10/18/2020,,1031505,2606266
10/17/2020,,788743,2049855
10/16/2020,,973046,2637667
10/15/2020,,950024,2581007
10/14/2020,,717940,2317763
10/13/2020,,680894,2313632
10/12/2020,,958440,2616771
10/11/2020,,984234,2555333
10/10/2020,,769868,2074718
10/9/2020,,968545,2688032
10/8/2020,,936915,2605291
10/7/2020,,668519,2215233
10/6/2020,,590766,2035628
10/5/2020,,816838,2400153
10/4/2020,,900911,2542118
10/3/2020,,677661,1921185
10/2/2020,,857186,2526835
10/1/2020,,855908,2447687
9/30/2020,,634046,2082179
9/29/2020,,568688,1998980
9/28/2020,,797699,2368818
9/27/2020,,873038,2452596
9/26/2020,,659350,1966234
9/25/2020,,826329,2547611
9/24/2020,,826316,2510926
9/23/2020,,608726,2188236
9/22/2020,,549741,2033490
9/21/2020,,769936,2431388
9/20/2020,,847968,2517826
9/19/2020,,638575,1938402
9/18/2020,,812214,2571924
9/17/2020,,784746,2455410
9/16/2020,,577847,2146857
9/15/2020,,522383,2013050
9/14/2020,,729558,2405832
9/13/2020,,809850,2485134
9/12/2020,,613703,1879822
9/11/2020,,731353,2484025
9/10/2020,,755051,2449302
9/9/2020,,616923,2005867
9/8/2020,,704075,1943379
9/7/2020,,935308,2292985
9/6/2020,,689630,2370003
9/5/2020,,664640,1755502
9/4/2020,,968673,2198828
9/3/2020,,877698,2109858
9/2/2020,,578131,1889044
9/1/2020,,516068,2037750
8/31/2020,,711178,2278159
8/30/2020,,807695,1887845
8/29/2020,,591734,1954902
8/28/2020,,738873,2658558
8/27/2020,,721060,2561109
8/26/2020,,540043,2188688
8/25/2020,,523186,2015088
8/24/2020,,726788,2358007
8/23/2020,,841806,2493162
8/22/2020,,625822,2039233
8/21/2020,,764468,2559244
8/20/2020,,772380,2533184
8/19/2020,,586718,2306838
8/18/2020,,565946,2247446
8/17/2020,,773319,2576965
8/16/2020,,862949,2584444
8/15/2020,,689895,2171962
8/14/2020,,783744,2627564
8/13/2020,,761821,2602446
8/12/2020,,590749,2391906
8/11/2020,,559420,2306829
8/10/2020,,761861,2567986
8/9/2020,,831789,2647897
8/8/2020,,683212,2290340
8/7/2020,,762547,2725000
8/6/2020,,743599,2707986
8/5/2020,,595739,2430094
8/4/2020,,543601,2387115
8/3/2020,,737235,2619406
8/2/2020,,799861,2688640
8/1/2020,,709033,2367967
7/31/2020,,767320,2730936
7/30/2020,,718310,2742882
7/29/2020,,573200,2542365
7/28/2020,,536756,2438967
7/27/2020,,700043,2613346
7/26/2020,,751205,2700723
7/25/2020,,649027,2364925
7/24/2020,,724770,2732770
7/23/2020,,704815,2705399
7/22/2020,,570951,2561911
7/21/2020,,530421,2499460
7/20/2020,,695330,2635312
7/19/2020,,747422,2727355
7/18/2020,,646654,2396462
7/17/2020,,720378,2776960
7/16/2020,,706164,2716828
7/15/2020,,589285,2522563
7/14/2020,,540268,2447177
7/13/2020,,697985,2615115
7/12/2020,,754545,2669717
7/11/2020,,656284,2312178
7/10/2020,,711124,2716812
7/9/2020,,709653,2608209
7/8/2020,,632498,2515902
7/7/2020,,641761,2506859
7/6/2020,,755555,2748718
7/5/2020,,732123,2795369
7/4/2020,,466669,2345846
7/3/2020,,718988,2184253
7/2/2020,,764761,2088760
7/1/2020,,626516,2547889
6/30/2020,,500054,2347767
6/29/2020,,625235,2455536
6/28/2020,,633810,2632030
6/27/2020,,546310,2368846
6/26/2020,,632984,2730515
6/25/2020,,623624,2711222
6/24/2020,,494826,2594661
6/23/2020,,471421,2506510
6/22/2020,,607540,2716428
6/21/2020,,590456,2719643
6/20/2020,,507129,2378559
6/19/2020,,587908,2772903
6/18/2020,,576514,2728786
6/17/2020,,441829,2552395
6/16/2020,,417924,2466574
6/15/2020,,534528,2699580
6/14/2020,,544046,2642083
6/13/2020,,437119,2318946
6/12/2020,,519304,2727860
6/11/2020,,502209,2675686
6/10/2020,,386969,2509058
6/9/2020,,338382,2433189
6/8/2020,,430414,2644981
6/7/2020,,441255,2669860
6/6/2020,,353016,2225952
6/5/2020,,419675,2649808
6/4/2020,,391882,2623947
6/3/2020,,304436,2370152
6/2/2020,,267742,2247421
6/1/2020,,353261,2499002
5/31/2020,,352947,2555578
5/30/2020,,268867,2117180
5/29/2020,,327133,2570613
5/28/2020,,321776,2485770
5/27/2020,,261170,2269035
5/26/2020,,264843,2453649
5/25/2020,,340769,2512237
5/24/2020,,267451,2070716
5/23/2020,,253190,2124825
5/22/2020,,348673,2792670
5/21/2020,,318449,2673635
5/20/2020,,230367,2472123
5/19/2020,,190477,2312727
5/18/2020,,244176,2615691
5/17/2020,,253807,2620276
5/16/2020,,193340,2091116
5/15/2020,,250467,2664549
